right;1458050947181;23;15;0;3;8;2;1;105374
right;1458050947182;23;15;0;3;9;2;1;105384
right;1458050947182;24;15;0;3;8;2;1;105394
right;1458050947182;23;15;0;2;8;2;1;105404
right;1458050947182;23;15;0;2;8;2;1;105414
right;1458050947183;23;15;1;2;9;2;1;105424
right;1458050947183;30;20;5;0;8;1;0;110082
right;1458050947188;23;31;7;0;7;1;0;110222
right;1458050947188;24;15;1;3;8;2;1;105434
right;1458050947189;24;18;6;0;8;2;0;110232
right;1458050947191;21;8;5;0;6;1;0;110242
right;1458050947191;23;31;7;0;8;1;0;110252
right;1458050947191;24;17;5;0;8;2;0;110262
right;1458050947192;21;1;4;0;6;1;0;110272
right;1458050947192;23;10;4;0;7;2;0;110282
right;1458050947192;23;30;7;0;7;1;0;110292
left;1458050947193;35;26;7;0;8;1;0;109702
right;1458050947193;21;7;5;0;6;1;0;110302
left;1458050947193;35;15;6;0;8;1;0;109712
left;1458050947197;33;36;8;0;8;1;0;109722
right;1458050947198;22;21;7;0;6;1;0;110412
right;1458050947198;21;2;4;0;6;1;0;110422
left;1458050947199;33;36;9;0;8;1;0;109732
right;1458050947204;23;4;4;0;7;2;0;110432
right;1458050947207;22;24;7;0;6;1;0;110442
right;1458050947207;23;16;1;2;8;2;1;105474
right;1458050947207;23;15;0;2;8;2;1;105484
right;1458050947208;24;15;0;2;8;2;1;105494
right;1458050947208;24;15;0;2;9;2;1;105504
right;1458050947208;24;16;0;2;8;2;1;105514
right;1458050947208;24;15;0;2;8;2;1;105524
right;1458050947208;24;15;0;2;8;2;1;105534
right;1458050947209;24;15;0;2;8;2;1;105544
right;1458050947209;24;15;0;2;8;2;1;105554
right;1458050947209;22;3;4;0;7;2;0;110452
right;1458050947209;29;3;3;0;7;1;0;110092
right;1458050947210;31;21;5;0;8;1;0;110102
left;1458050947211;19;9;0;2;7;1;1;105164
right;1458050947212;28;8;4;0;6;1;0;110112
left;1458050947212;19;9;0;2;7;1;2;105174
left;1458050947215;19;9;0;2;7;1;1;105184
left;1458050947215;19;10;0;2;7;1;1;105194
left;1458050947216;19;9;0;2;8;2;1;105204
left;1458050947216;19;10;0;2;8;1;1;105214
left;1458050947216;34;33;7;0;7;1;0;110352
left;1458050947217;31;14;6;0;6;1;0;110362
left;1458050947217;31;10;5;0;6;1;0;110372
left;1458050947217;34;12;5;0;7;1;0;110382
left;1458050947217;34;13;5;0;8;1;0;110392
left;1458050947220;31;11;6;0;6;1;0;110402
left;1458050947224;19;10;0;2;8;1;1;105224
left;1458050947228;20;14;0;2;11;1;1;105554
left;1458050947229;20;14;0;2;11;1;1;105564
left;1458050947229;20;14;0;2;11;1;1;105574
left;1458050947229;20;14;0;2;11;1;1;105584
left;1458050947229;20;14;0;2;11;1;1;105594
left;1458050947230;20;14;0;2;11;1;1;105604
left;1458050947230;20;14;0;2;11;1;1;105614
left;1458050947230;21;14;0;2;11;1;1;105624
right;1458050947234;23;15;1;2;8;2;1;105444
right;1458050947234;23;15;0;2;8;2;1;105454
right;1458050947235;23;15;0;2;9;2;1;105464
right;1458050947235;23;16;1;2;8;2;1;105474
right;1458050947235;23;15;0;2;8;2;1;105484
right;1458050947236;24;15;0;2;8;2;1;105494
left;1458050947238;22;15;0;2;10;1;1;105694
right;1458050947239;24;15;0;2;9;2;1;105504
left;1458050947239;21;15;0;2;11;1;1;105634
left;1458050947240;33;16;6;0;8;1;0;109742
left;1458050947240;30;1;4;0;7;1;0;109752
left;1458050947241;32;12;5;0;8;2;0;109762
left;1458050947245;32;24;7;0;6;1;0;110412
left;1458050947245;31;2;4;0;6;1;0;110422
left;1458050947245;33;5;4;0;7;1;0;110432
left;1458050947246;33;28;7;0;6;1;0;110442
right;1458050947249;21;1;4;0;6;1;0;110312
right;1458050947249;22;3;3;0;7;2;0;110322
right;1458050947249;21;15;6;0;6;1;0;110332
left;1458050947250;22;15;0;2;10;1;1;105704
left;1458050947251;23;15;1;2;10;1;1;105714
right;1458050947255;24;15;1;3;8;2;1;105564
right;1458050947256;24;15;1;2;8;2;1;105574
left;1458050947244;33;31;8;0;8;1;0;109772
left;1458050947260;21;14;0;2;10;1;1;105644
left;1458050947260;21;14;0;2;10;1;1;105654
right;1458050947260;24;16;0;2;8;2;1;105514
left;1458050947260;20;10;0;2;8;2;1;105234
left;1458050947261;21;14;0;2;10;1;1;105664
right;1458050947246;31;20;5;0;8;1;0;110122
right;1458050947250;23;9;4;0;7;2;0;110342
right;1458050947251;24;20;5;0;8;2;0;110462
right;1458050947261;24;15;0;2;8;2;1;105524
right;1458050947262;28;2;3;0;6;1;0;110132
right;1458050947266;28;14;5;0;5;1;0;110142
left;1458050947267;23;15;0;2;10;1;1;105724
right;1458050947267;28;10;5;0;6;1;0;110152
right;1458050947268;23;31;7;0;7;1;0;110472
right;1458050947268;23;29;7;0;7;1;0;110352
left;1458050947271;23;15;0;2;10;1;1;105734
right;1458050947271;29;18;5;0;6;0;0;110162
right;1458050947272;24;15;5;0;8;2;0;110482
right;1458050947272;21;12;6;0;6;1;0;110362
right;1458050947256;24;15;0;2;9;2;1;105584
