seconds,mV,mV,mV
5.508,1.000,1.000,1.000
5.516,1.000,1.000,1.000
5.523,1.000,1.000,1.000
5.531,1.000,1.000,1.000
5.539,1.000,1.000,1.000
5.547,1.000,1.000,1.000
5.555,1.000,1.000,1.000
5.562,1.000,1.000,1.000
5.570,1.000,1.000,1.000
5.578,0.000,0.000,0.000
5.586,0.000,0.000,0.000
5.594,0.000,0.000,0.000
5.602,0.000,0.000,0.000
5.609,0.000,0.000,0.000
5.617,0.000,0.000,0.000
5.625,0.000,0.000,0.000
5.633,0.000,0.000,0.000
5.641,0.000,0.000,0.000
5.648,0.000,0.000,0.000
5.656,0.000,0.000,0.000
5.664,0.000,0.000,0.000
5.672,0.000,0.000,0.000
5.680,0.000,0.000,0.000
5.688,0.000,0.000,0.000
5.695,0.000,0.000,0.000
5.703,0.000,0.000,0.000
5.711,0.000,0.000,0.000
5.719,0.000,0.000,0.000
5.727,0.000,0.000,0.000
5.734,0.000,0.000,0.000
5.742,0.000,0.000,0.000
5.750,0.000,0.000,0.000
5.758,0.000,0.000,0.000
5.766,0.000,0.000,0.000
5.773,0.000,0.000,0.000
5.781,0.000,0.000,0.000
5.789,0.000,0.000,0.000
5.797,0.000,0.000,0.000
5.805,0.000,0.000,0.000
5.812,0.000,0.000,0.000
5.820,0.000,0.000,0.000
5.828,0.000,0.000,0.000
5.836,0.000,0.000,0.000
5.844,0.000,0.000,0.000
5.852,0.000,0.000,0.000
5.859,0.000,0.000,0.000
5.867,0.000,0.000,0.000
5.875,0.000,0.000,0.000
5.883,0.000,0.000,0.000
5.891,0.000,0.000,0.000
5.898,0.000,0.000,0.000
5.906,0.000,0.000,0.000
5.914,0.000,0.000,0.000
5.922,0.000,0.000,0.000
5.930,0.000,0.000,0.000
5.938,0.000,0.000,0.000
5.945,0.000,0.000,0.000
5.953,0.000,0.000,0.000
5.961,0.000,0.000,0.000
5.969,0.000,0.000,0.000
5.977,0.000,0.000,0.000
5.984,0.000,0.000,0.000
5.992,0.000,0.000,0.000
6.000,0.000,0.000,0.000
6.008,0.000,0.000,0.000
6.016,0.000,0.000,0.000
6.023,0.000,0.000,0.000
6.031,0.000,0.000,0.000
6.039,0.000,0.000,0.000
6.047,0.000,0.000,0.000
6.055,0.000,0.000,0.000
6.062,0.000,0.000,0.000
6.070,0.000,0.000,0.000
6.078,0.000,0.000,0.000
6.086,0.000,0.000,0.000
6.094,0.000,0.000,0.000
6.102,0.000,0.000,0.000
6.109,0.000,0.000,0.000
6.117,0.000,0.000,0.000
6.125,0.000,0.000,0.000
6.133,0.000,0.000,0.000
